step,coverage,cum_time,info_gain,overlap,fail,dt
7.800000000000000000e+01,5.775694444440433450e-01,3.410852770016482793e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.006214738493585337e-02
7.900000000000000000e+01,5.775694444440433450e-01,3.443083015790286527e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.223024577380364381e-02
8.000000000000000000e+01,5.775694444440433450e-01,3.492026387109061325e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.894337131877496416e-02
8.100000000000000000e+01,5.775694444440433450e-01,3.531364740967718241e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.933835385865677020e-02
8.200000000000000000e+01,5.775694444440433450e-01,3.564711048384104686e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.334630741638633378e-02
8.300000000000000000e+01,5.775694444440433450e-01,3.615492924554120080e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.078187617001548443e-02
8.400000000000000000e+01,5.775694444440433450e-01,3.666448901133018801e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.095597657889873455e-02
8.500000000000000000e+01,5.775694444440433450e-01,3.717230777303034195e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.078187617001548443e-02
8.600000000000000000e+01,5.775694444440433450e-01,3.768056238581879658e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.082546127884540049e-02
8.700000000000000000e+01,5.775694444440433450e-01,3.819012215160778378e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.095597657889873455e-02
8.800000000000000000e+01,5.775694444440433450e-01,3.869837676439623841e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.082546127884540049e-02
8.900000000000000000e+01,5.775694444440433450e-01,3.920608648686282116e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.077097224665848979e-02
9.000000000000000000e+01,5.775694444440433450e-01,3.952838894460085850e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.223024577380364381e-02
9.100000000000000000e+01,5.775694444440433450e-01,4.003794871038985015e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.095597657889873455e-02
9.200000000000000000e+01,5.775694444440433450e-01,4.043036882504318363e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.924201146533308482e-02
9.300000000000000000e+01,5.775694444440433450e-01,4.081335286525301420e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.829840402098341062e-02
9.400000000000000000e+01,5.775694444440433450e-01,4.131236759392842295e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.990147286754061107e-02
9.500000000000000000e+01,5.775694444440433450e-01,4.169535163413825352e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.829840402098341062e-02
9.600000000000000000e+01,5.775694444440433450e-01,4.220306135660483626e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.077097224665848979e-02
9.700000000000000000e+01,5.775694444440433450e-01,4.253652443076870071e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.334630741638633378e-02
9.800000000000000000e+01,5.775694444440433450e-01,4.291950847097853128e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.829840402098341062e-02
9.900000000000000000e+01,5.775694444440433450e-01,4.325297154514239573e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.334630741638633378e-02
1.000000000000000000e+02,5.775694444440433450e-01,4.364635508372896489e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.933835385865677020e-02
1.010000000000000000e+02,5.775694444440433450e-01,4.402933912393879545e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.829840402098341062e-02
1.020000000000000000e+02,5.775694444440433450e-01,4.453889888972778266e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.095597657889873455e-02
1.030000000000000000e+02,5.775694444440433450e-01,4.504715350251623285e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.082546127884540049e-02
1.040000000000000000e+02,5.775694444440433450e-01,4.554616823119164160e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.990147286754061107e-02
1.050000000000000000e+02,5.775694444440433450e-01,4.593955176977821075e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.933835385865677020e-02
1.060000000000000000e+02,5.775694444440433450e-01,4.644780638256666094e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.082546127884540049e-02
1.070000000000000000e+02,5.775694444440433450e-01,4.684842785641602170e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.006214738493585337e-02
1.080000000000000000e+02,5.775694444440433450e-01,4.718189093057988615e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.334630741638633378e-02
1.090000000000000000e+02,5.775694444440433450e-01,4.768090565925529489e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.990147286754061107e-02
1.100000000000000000e+02,5.775694444440433450e-01,4.806388969946512546e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.829840402098341062e-02
1.110000000000000000e+02,5.775694444440433450e-01,4.857170846116527940e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.078187617001548443e-02
1.120000000000000000e+02,5.775694444440433450e-01,4.890517153532914385e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.334630741638633378e-02
1.130000000000000000e+02,5.775694444440433450e-01,4.922747399306717675e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.223024577380364381e-02
1.140000000000000000e+02,5.775694444440433450e-01,4.972648872174258550e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.990147286754061107e-02
1.150000000000000000e+02,5.775694444440433450e-01,5.012711019559194625e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.006214738493585337e-02
1.160000000000000000e+02,5.775694444440433450e-01,5.063666996138093346e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.095597657889873455e-02
1.170000000000000000e+02,5.775694444440433450e-01,5.102909007603426694e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.924201146533308482e-02
1.180000000000000000e+02,5.775694444440433450e-01,5.153864984182325415e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.095597657889873455e-02
1.190000000000000000e+02,5.775694444440433450e-01,5.202808355501100657e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.894337131877496416e-02
